tipo_evento,departamento,codigo_dane_departamento,municipio,codigo_dane_municipio,a_o,mes,evento,tipo_lugar,tipo_area,latitud_cabecera,longitud_cabecera,sitio,geocoded_column
Sospecha de campo minado,SANTANDER,68,SAN VICENTE DE CHUCURÍ,68689,2014,10,Incidente,Fincas,Rural,6.84073,-73.53009,Sospecha De Campo Minado,"{'type': 'Point', 'coordinates': [-73.53009, 6.84073]}"
Sospecha de campo minado,SANTANDER,68,EL CARMEN,68235,2013,9,Incidente,Campo,Rural,6.72416,-73.60923,Sospecha De Campo Minado,"{'type': 'Point', 'coordinates': [-73.60923, 6.72416]}"
Sospecha de campo minado,ANTIOQUIA,5,GRANADA,5313,2015,4,Incidente,Campo,Rural,6.11738,-75.10259,Sospecha De Campo Minado,"{'type': 'Point', 'coordinates': [-75.10259, 6.11738]}"
Desminado militar en operaciones,ARAUCA,81,ARAUQUITA,81065,2015,5,Incidente,Oleoductos,Rural,7.010011111,-71.44830556,Vereda Peralonso,"{'type': 'Point', 'coordinates': [-71.44830556, 7.010011111]}"
Accidente por MAP,NORTE DE SANTANDER,54,TIBÚ,54810,2015,5,Accidente,Sin informacion,Rural,8.84638888888889,-72.7997222222222,Sector La Virgen,"{'type': 'Point', 'coordinates': [-72.7997222222222, 8.84638888888889]}"
Desminado militar en operaciones,PUTUMAYO,86,PUERTO ASÍS,86568,2015,3,Incidente,Sin informacion,Rural,0.5036111111,-76.45666667,Vereda El Aguila,"{'type': 'Point', 'coordinates': [-76.45666667, 0.5036111111]}"
Desminado militar en operaciones,GUAVIARE,95,CALAMAR,95015,2015,4,Incidente,Sin informacion,Rural,1.9616666667,-72.65333333,Puente Que Comunica Las Instalaciones Del Batallon,"{'type': 'Point', 'coordinates': [-72.65333333, 1.9616666667]}"
Desminado militar en operaciones,NORTE DE SANTANDER,54,EL TARRA,54250,2015,4,Incidente,Sin informacion,Rural,8.6213888889,-73.10138889,Vereda Divino Niño,"{'type': 'Point', 'coordinates': [-73.10138889, 8.6213888889]}"
Desminado militar en operaciones,META,50,MESETAS,50330,2010,3,Incidente,Sin informacion,Rural,3.315556,-74.099167,Guadualeja,"{'type': 'Point', 'coordinates': [-74.099167, 3.315556]}"
Desminado militar en operaciones,ANTIOQUIA,5,APARTADÓ,5045,2010,3,Incidente,Sin informacion,Rural,7.895833,-76.572778,La Vereda Guineo Alto,"{'type': 'Point', 'coordinates': [-76.572778, 7.895833]}"
Incautaciones,HUILA,41,COLOMBIA,41206,2009,10,Incidente,Caleta,Rural,3.3025,-74.778333,La Holanda,"{'type': 'Point', 'coordinates': [-74.778333, 3.3025]}"
Desminado militar en operaciones,HUILA,41,NEIVA,41001,2010,3,Incidente,Sin informacion,Rural,2.936944,-75.045,La Vegalarga,"{'type': 'Point', 'coordinates': [-75.045, 2.936944]}"
Desminado militar en operaciones,PUTUMAYO,86,ORITO,86320,2009,10,Incidente,Sin informacion,Rural,0.650833,-77.141111,Las Ventanas,"{'type': 'Point', 'coordinates': [-77.141111, 0.650833]}"
Desminado militar en operaciones,TOLIMA,73,ORTEGA,73504,2008,6,Incidente,Sin informacion,Rural,3.947778,-75.383056,Vereda San Miguel,"{'type': 'Point', 'coordinates': [-75.383056, 3.947778]}"
Desminado militar en operaciones,NORTE DE SANTANDER,54,LABATECA,54377,2009,10,Incidente,Sin informacion,Rural,7.271944,-72.547222,El Tincala,"{'type': 'Point', 'coordinates': [-72.547222, 7.271944]}"
Desminado militar en operaciones,CAQUETA,18,SAN VICENTE DEL CAGUÁN,18753,2009,4,Incidente,Sin informacion,Rural,2.613889,-74.694167,El Rio Coreguaje,"{'type': 'Point', 'coordinates': [-74.694167, 2.613889]}"
Desminado militar en operaciones,CORDOBA,23,TIERRALTA,23807,2009,4,Incidente,Sin informacion,Rural,7.826667,-76.037778,El Manso,"{'type': 'Point', 'coordinates': [-76.037778, 7.826667]}"
Desminado militar en operaciones,ANTIOQUIA,5,SAN FRANCISCO,5652,2009,3,Incidente,Sin informacion,Rural,5.948056,-75.055833,La Vereda El Boqueron,"{'type': 'Point', 'coordinates': [-75.055833, 5.948056]}"
Desminado militar en operaciones,HUILA,41,COLOMBIA,41206,2009,1,Incidente,Sin informacion,Rural,3.731944,-74.531389,La Vereda Tapiales,"{'type': 'Point', 'coordinates': [-74.531389, 3.731944]}"
Desminado militar en operaciones,CHOCO,27,QUIBDÓ,27001,2009,9,Incidente,Sin informacion,Rural,5.695556,-76.661944,El Malecon,"{'type': 'Point', 'coordinates': [-76.661944, 5.695556]}"
Desminado militar en operaciones,META,50,URIBE,50370,2009,9,Incidente,Sin informacion,Rural,3.023056,-74.233611,El Paraiso,"{'type': 'Point', 'coordinates': [-74.233611, 3.023056]}"
Desminado militar en operaciones,ANTIOQUIA,5,SAN CARLOS,5649,2009,9,Incidente,Sin informacion,Rural,6.179167,-74.901111,La Risaralda,"{'type': 'Point', 'coordinates': [-74.901111, 6.179167]}"
Desminado militar en operaciones,ANTIOQUIA,5,CÁCERES,5120,2009,8,Incidente,Sin informacion,Rural,7.469167,-75.148056,El Peladero,"{'type': 'Point', 'coordinates': [-75.148056, 7.469167]}"
Desminado militar en operaciones,META,50,URIBE,50370,2009,6,Incidente,Sin informacion,Rural,2.863611,-74.592778,El Leyva,"{'type': 'Point', 'coordinates': [-74.592778, 2.863611]}"
Desminado militar en operaciones,NARIÑO,52,POLICARPA,52540,2011,6,Incidente,Sin informacion,Rural,1.832778,-77.547222,Corregimiento Santacruz,"{'type': 'Point', 'coordinates': [-77.547222, 1.832778]}"
Desminado militar en operaciones,CAQUETA,18,MONTAÑITA,18410,2011,6,Incidente,Sin informacion,Rural,1.044444,-75.144444,Vereda Alto Cuarenta,"{'type': 'Point', 'coordinates': [-75.144444, 1.044444]}"
Desminado militar en operaciones,HUILA,41,COLOMBIA,41206,2011,6,Incidente,Sin informacion,Rural,3.163889,-74.804444,La Hondita,"{'type': 'Point', 'coordinates': [-74.804444, 3.163889]}"
Desminado militar en operaciones,CAQUETA,18,SOLANO,18756,2011,6,Incidente,Sin informacion,Rural,1.024444,-75.152222,Vereda El Jardin,"{'type': 'Point', 'coordinates': [-75.152222, 1.024444]}"
Desminado militar en operaciones,CAQUETA,18,SAN VICENTE DEL CAGUÁN,18753,2011,6,Incidente,Sin informacion,Rural,2.513333,-74.662222,Area General Honduras,"{'type': 'Point', 'coordinates': [-74.662222, 2.513333]}"
Desminado militar en operaciones,TOLIMA,73,PLANADAS,73555,2011,6,Incidente,Sin informacion,Rural,3.017222,-75.783611,Cerro San Miguel,"{'type': 'Point', 'coordinates': [-75.783611, 3.017222]}"
Desminado militar en operaciones,BOLIVAR,13,MONTECRISTO,13458,2011,6,Incidente,Sin informacion,Rural,7.826944,-74.453056,Las Vegas,"{'type': 'Point', 'coordinates': [-74.453056, 7.826944]}"
